0,1,0.00634164
0,4,0.00150501
0,11,0.0127394
1,2,0.00239594
1,24,0.0179446
2,3,0.000173517
2,10,0.000836266
3,4,0.000115075
4,12,0.000317089
5,6,0.0104893
5,10,0.00315524
5,25,0.023865
6,7,0.00502464
6,26,0.0319341
7,8,0.000536216
7,28,0.00183009
8,9,0.000103695
9,10,0.000298076
11,14,0.0249115
11,36,0.0684413
12,13,0.00101431
13,14,0.00903388
14,39,0.0548916
15,16,0.0145692
15,20,0.0265573
15,41,0.0820191
16,17,0.0015506
16,21,0.007423
17,18,0.000345915
17,23,0.000107204
18,19,0.00116122
19,20,0.00907233
19,28,0.00232292
20,27,0.0485941
21,22,0.00272559
21,29,0.0224127
22,23,0.000171225
22,33,0.000812704
24,25,0.0482361
24,37,0.0919334
25,34,0.123491
26,27,0.0908839
26,35,0.173104
27,44,0.231608
29,30,0.0590489
29,42,0.117808
30,31,0.0372788
30,51,0.146057
31,32,0.0090583
32,33,0.00178818
34,35,0.296523
34,46,0.485755
35,48,0.634355
36,37,0.17169
36,38,0.324313
37,45,0.377251
38,40,0.563003
38,52,1.04952
39,40,0.261606
40,60,0.858673
41,42,0.21552
41,43,0.351498
42,49,0.488886
43,44,0.542631
43,56,1.10571
44,47,0.805894
45,46,0.775717
45,53,1.19974
46,54,1.42656
47,48,1.17836
47,61,2.1366
48,55,1.72033
49,50,0.975547
49,57,1.45184
50,51,0.586818
50,69,1.7076
52,53,1.77818
52,59,2.53037
53,63,2.7811
54,55,2.36009
54,64,3.08748
55,66,3.49049
56,57,2.00216
56,62,2.66738
57,67,3.13181
58,59,3.40893
58,60,2.21095
58,78,4.25682
59,70,4.55149
61,62,3.42216
61,65,4.0747
62,74,4.70518
63,64,3.90677
63,71,4.7811
64,72,4.98633
65,66,4.67268
65,79,5.73149
66,73,5.24671
67,68,4.35226
67,75,5.0661
68,69,3.54852
68,87,5.40498
70,71,5.48714
70,77,5.90008
71,81,5.95615
72,73,5.73804
72,82,5.98639
73,84,5.99726
74,75,5.64958
74,80,5.93793
75,85,5.99948
76,77,5.98577
76,78,5.80602
76,96,5.72939
77,88,5.55308
79,80,5.98512
79,83,5.83604
80,92,5.34412
81,82,5.91648
81,89,5.4675
82,90,5.41597
83,84,5.58401
83,97,4.48055
84,91,5.10908
85,86,5.71337
85,93,5.0415
86,87,5.97644
86,105,5.15624
88,89,4.67563
88,95,3.82668
89,101,3.63243
90,91,4.50207
90,102,3.60245
91,100,3.44605
92,93,4.06767
92,98,3.35554
93,103,3.01841
94,95,3.00729
94,96,4.16211
94,115,2.19505
95,106,1.93268
97,98,2.93376
97,99,2.56909
98,110,1.64432
99,100,2.24097
99,116,0.978324
100,109,1.64808
101,102,2.5918
101,107,1.75013
102,108,1.66001
103,104,2.32007
103,112,1.59387
104,105,3.51556
104,123,1.76783
106,107,1.12253
106,114,0.735802
107,119,0.616225
108,109,0.976831
108,120,0.561102
109,118,0.468023
110,111,0.783013
110,117,0.533196
111,112,0.887024
111,126,0.239115
112,121,0.595623
113,114,0.436058
113,115,0.829704
113,131,0.242183
114,124,0.195543
116,117,0.345296
116,118,0.291011
117,133,0.136237
118,129,0.11563
119,120,0.310749
119,125,0.163339
120,128,0.140701
121,122,0.280911
121,127,0.112662
122,123,0.610143
122,141,0.13132
124,125,0.0773017
124,130,0.038218
125,138,0.0301171
126,127,0.0556594
126,134,0.0438002
127,139,0.0216467
128,129,0.062822
128,137,0.0282747
129,135,0.0367923
130,132,0.0195965
130,142,0.00626733
131,132,0.0548742
132,152,0.0104103
133,134,0.039786
133,136,0.0312385
134,147,0.0101239
135,136,0.0177514
135,146,0.00564807
136,153,0.00405107
137,138,0.0115454
137,145,0.00430076
138,144,0.00481229
139,140,0.00911192
139,149,0.00375677
140,141,0.0213115
140,159,0.0015156
142,143,0.00148905
142,151,0.000665974
143,144,0.00149164
144,155,0.000623875
145,146,0.00138185
145,156,0.000395897
146,157,0.000410071
147,148,0.00200198
147,154,0.00154328
148,149,0.0011459
149,158,0.000263477
150,151,0.000255907
150,152,0.00131117
153,154,0.000754772
153,157,0.000330936
155,156,0.000135427
158,159,0.000111307
