0,1,0.888856
0,4,1.09207
0,11,1.07182
1,2,1.27685
1,24,1.08023
2,3,1.25212
2,10,0.795212
3,4,1.02337
4,12,0.988436
5,6,1.17326
5,10,1.00404
5,25,1.09601
6,7,1.06565
6,26,0.784503
7,8,0.960184
7,28,0.994973
8,9,0.920842
9,10,1.09035
11,14,0.999965
11,36,0.983513
12,13,0.885639
13,14,1.04126
14,39,0.991488
15,16,0.936015
15,20,1.2163
15,41,1.00008
16,17,0.925118
16,21,0.998361
17,18,0.780462
17,23,1.06002
18,19,1.03494
19,20,1.07423
19,28,0.879832
20,27,1.04581
21,22,1.0447
21,29,0.965882
22,23,0.938735
22,33,1.15092
24,25,1.02829
24,37,1.05136
25,34,1.12858
26,27,1.08713
26,35,1.0507
27,44,1.04224
29,30,1.21264
29,42,1.02482
30,31,1.04106
30,51,0.846129
31,32,1.14981
32,33,1.13295
34,35,1.16721
34,46,0.89514
35,48,1.21139
36,37,0.900638
36,38,0.852022
37,45,0.824409
38,40,0.975408
38,52,1.0247
39,40,1.02536
40,60,1.04177
41,42,1.10787
41,43,1.06987
42,49,1.05528
43,44,1.02335
43,56,0.989057
44,47,0.973395
45,46,1.08276
45,53,0.913046
46,54,1.05434
47,48,0.994705
47,61,0.824053
48,55,1.04831
49,50,0.95343
49,57,1.01718
50,51,0.827778
50,69,1.11192
52,53,1.0429
52,59,1.01478
53,63,1.12224
54,55,0.733012
54,64,0.995551
55,66,1.21315
56,57,0.685222
56,62,0.879599
57,67,1.08271
58,59,0.951977
58,60,0.876148
58,78,0.925401
59,70,1.04588
61,62,0.962434
61,65,0.85429
62,74,1.06544
63,64,1.11114
63,71,0.914057
64,72,0.966996
65,66,1.14073
65,79,0.873133
66,73,1.03788
67,68,0.905542
67,75,1.07929
68,69,1.04397
68,87,1.10508
70,71,1.03711
70,77,0.934296
71,81,1.10375
72,73,1.07939
72,82,1.18262
73,84,1.02148
74,75,0.975572
74,80,1.07355
75,85,0.998513
76,77,1.00116
76,78,0.878339
76,96,1.01719
77,88,0.95647
79,80,0.903111
79,83,1.09762
80,92,0.790195
81,82,0.997033
81,89,1.02305
82,90,1.03378
83,84,1.10785
83,97,0.973008
84,91,1.03697
85,86,1.11839
85,93,1.15848
86,87,1.05219
86,105,1.1099
88,89,1.00551
88,95,1.0839
89,101,1.01348
90,91,0.93239
90,102,0.982308
91,100,1.00993
92,93,1.3323
92,98,1.08637
93,103,0.942297
94,95,0.924339
94,96,0.98386
94,115,1.08816
95,106,1.09124
97,98,1.15026
97,99,0.903757
98,110,1.01157
99,100,1.07987
99,116,1.02706
100,109,1.12963
101,102,0.786224
101,107,0.914838
102,108,0.981756
103,104,1.02668
103,112,0.980292
104,105,0.950596
104,123,1.01059
106,107,0.756376
106,114,1.06144
107,119,1.01361
108,109,1.30447
108,120,0.918587
109,118,0.893296
110,111,0.987247
110,117,1.04839
111,112,0.889541
111,126,1.01133
112,121,0.989984
113,114,1.07657
113,115,0.947642
113,131,1.05606
114,124,0.83332
116,117,0.992698
116,118,1.09124
117,133,1.04092
118,129,0.9689
119,120,1.0429
119,125,0.931744
120,128,1.06403
121,122,0.868143
121,127,0.939665
122,123,1.0239
122,141,1.05256
124,125,0.948363
124,130,1.14119
125,138,0.796501
126,127,0.820688
126,134,1.03533
127,139,0.998504
128,129,1.16954
128,137,1.006
129,135,1.04468
130,132,1.02039
130,142,0.884169
131,132,0.94611
132,152,1.1277
133,134,1.01734
133,136,1.02027
134,147,1.17
135,136,0.915328
135,146,0.979084
136,153,1.05286
137,138,0.956235
137,145,0.904508
138,144,1.0772
139,140,0.962146
139,149,1.04733
140,141,1.12191
140,159,0.929257
142,143,0.81357
142,151,1.03518
143,144,0.894555
144,155,1.05868
145,146,0.944945
145,156,0.878275
146,157,1.07912
147,148,0.994211
147,154,1.13495
148,149,0.988022
149,158,0.866116
150,151,0.991546
150,152,0.900433
153,154,1.12163
153,157,0.996415
155,156,0.811537
158,159,0.941033
